source_id,dataset,included,exclusion_reason,priority_tier,source_type,year,citation,url_or_doi,population_or_context,evidence_role,supports_high_cost_error,supports_low_cost_error,key_extracted_evidence,uncertainty_or_limits,quality_weight
B1,breakhis,yes,,3,dataset-primary paper,2016,"Spanhol FA, Oliveira LS, Petitjean C, Heutte L. A Dataset for Breast Cancer Histopathological Image Classification. IEEE TBME.","10.1109/TBME.2015.2496264","BreaKHis benign/malignant histopathology image dataset","Defines dataset decision task and class semantics",yes,yes,"BreaKHis is a histopathological benign-vs-malignant tumor image dataset; this anchors the matrix to tissue-level cancer-support classification, not screening mammography alone.","Dataset paper does not provide clinical cost ratios.",0.6
B2,breakhis,yes,,3,official dataset documentation,2026,"Breast Cancer Histopathological Database (BreaKHis), UFPR VRI.","https://web.inf.ufpr.br/vri/databases/breast-cancer-histopathological-database-breakhis/","Official dataset page","Clinical semantics of benign and malignant labels",yes,yes,"Official documentation states malignant tumor is cancer and can invade, metastasize, and cause death; benign tumors do not match malignancy criteria and are relatively localized/slow-growing.","Dataset documentation, not an outcomes registry or cost-utility source.",0.6
B3,breakhis,yes,,1,official evidence summary/guideline-style review,2025,"National Cancer Institute. Breast Cancer Screening (PDQ), Health Professional Version.","https://www.cancer.gov/types/breast/hp/breast-screening-pdq","Screening and diagnostic consequences; used as secondary proxy","Quantifies false-positive workup burden and missed/interval cancer harm",yes,yes,"NCI summarizes harms including false positives, biopsies, overdiagnosis, and false negatives; interval cancers tend to have worse prognosis and may be higher grade or receptor negative.","Screening evidence is a secondary proxy for histopathology decision support; not a direct BreaKHis cost matrix.",1.0
B4,breakhis,yes,,1,systematic evidence review,2016,"Nelson HD, et al. Harms of Breast Cancer Screening: Systematic Review to Update the 2009 USPSTF Recommendation.","https://pubmed.ncbi.nlm.nih.gov/26756737/","Breast cancer screening harms","Bounds low-cost false-positive harm as real but typically less severe than missed malignancy",no,yes,"USPSTF harms review is used for false-positive downstream burden such as additional imaging, biopsy, and anxiety; this prevents treating benign-as-malignant errors as costless.","Screening false positives differ from histopathology decision-support false positives.",1.0
B5,breakhis,yes,,1,official cancer research summary,2011,"National Cancer Institute. Breast Cancers Between Mammograms Have Aggressive Features.","https://www.cancer.gov/types/breast/research/interval-breast-cancer","Interval breast cancers as proxy for missed/delayed detection","Supports high time-sensitivity and irreversibility for malignant-as-benign errors",yes,no,"NCI reports interval breast cancers are more likely to show aggressive features, including higher stage and grade, larger size, and receptor-negative status.","Screening proxy; not pathology-image-specific.",0.8
B6,breakhis,yes,,2,peer-reviewed cohort/diagnostic accuracy study,2015,"Elmore JG, et al. Diagnostic concordance among pathologists interpreting breast biopsy specimens. JAMA.","https://pubmed.ncbi.nlm.nih.gov/25781441/","Pathologists interpreting breast biopsy specimens","Pathology-specific diagnostic uncertainty source",yes,yes,"Breast biopsy interpretation has measurable diagnostic variability, especially outside straightforward invasive cancer/benign extremes; supports using sensitivity analysis rather than asserting a unique exact cost ratio.","Concordance study informs diagnostic uncertainty, not direct patient-harm costs.",0.8
B7,breakhis,yes,,2,peer-reviewed clinical series,2005,"Dillon MF, et al. The Accuracy of Ultrasound, Stereotactic, and Clinical Core Biopsies in the Diagnosis of Breast Cancer, With an Analysis of False-Negative Cases.","https://pmc.ncbi.nlm.nih.gov/articles/PMC1409862/","Breast core biopsy false-negative cases","Histopathology-adjacent missed-cancer delay proxy",yes,no,"False-negative biopsy results can delay cancer diagnosis; multidisciplinary review/triple assessment reduces delay, supporting the decision-support caveat that human review can mitigate but not erase false-negative harm.","Core biopsy process differs from image-classifier decision support and BreaKHis excisional biopsy images.",0.8
B8,breakhis,yes,,2,peer-reviewed clinical series,2003,"False-negative core needle biopsies of the breast: analysis of clinical, radiologic, and pathologic findings in missed cancer cases.","https://pubmed.ncbi.nlm.nih.gov/12673707/","False-negative breast core needle biopsy cases","Supports delay/irreversibility score for malignant-as-benign errors",yes,no,"Reports missed breast cancers and diagnosis delays in a false-negative biopsy context, supporting high cost for malignant tissue called benign.","Older and procedure-specific; used as secondary pathology-adjacent evidence.",0.8
B9,breakhis,no,"Excluded from numeric derivation because it is too old and mammography-only; retained as historical context for missed-diagnosis delay.",4,older clinical report,1979,"False negative mammograms causing delay in breast cancer diagnosis.","https://pubmed.ncbi.nlm.nih.gov/457739/","Mammography false negatives","Historical context",yes,no,"Mentions diagnostic delay after false-negative mammography.","Too old and screening-only for current primary scoring.",0.0
B10,breakhis,no,"Excluded because it is non-authoritative background and not needed given official NCI and dataset sources.",5,encyclopedia,2026,"Breast biopsy. Wikipedia.","https://en.wikipedia.org/wiki/Breast_biopsy","General public background","Excluded background source",no,no,"May provide lay definitions but not suitable for cost derivation.","Open-edit source.",0.0
B11,breakhis,no,"Excluded because it is a model-performance paper without clinical harm or cost-ratio evidence.",5,benchmark/model paper,2022,"Representative BreaKHis classification benchmark paper.","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0267955","Algorithmic benchmark context","Excluded benchmark-only source",no,no,"Relevant to model performance but not to clinical cost-matrix construction.","No independent cost evidence.",0.0
